Name,Size,Watt,Price
Chieftec IArena Serie GPA-450S8,ATX,450W,
Chieftec IArena Serie GPA-500S8,ATX,500W,
Chieftec IArena Serie GPB-300S,ATX,300W,
Chieftec IArena Serie GPB-350S,ATX,350W,
Chieftec IArena Serie GPB-400S,ATX,400W,
Chieftec IArena Serie GPB-450S,ATX,450W,
Chieftec IArena Serie GPB-500S,ATX,500W,
Chieftec MRG-5800V redundantes 80 PLUS - 2x 800 Watt,redundant,800W,
Chieftec MRG-6500P - 2x 500 Watt,redundant,500W,
Chieftec MRT-5320G redundantes 80 PLUS Gold - 2x 320 Watt,redundant,320W,
Chieftec Navitas,ATX,1250W,
Chieftec Navitas 80 PLUS Gold,ATX,1000W,
Chieftec Navitas Serie GPM-450S,ATX,450W,
Chieftec Navitas Serie GPM-550S,ATX,550W,
Chieftec Navitas Serie GPM-650S,ATX,650W,
Chieftec Navitas Serie GPM-750S,ATX,750W,
Chieftec Polaris 3.0 1050W,ATX,1050W,
Chieftec Polaris 3.0 1250W,ATX,1250W,
Chieftec Polaris 3.0 850W,ATX,850W,
Chieftec Polaris PRO 1300W,ATX,1300W,
Chieftec Power Smart 80 PLUS Gold,ATX,1250W,
Chieftec Power Smart 80 PLUS Gold,ATX,1450W,
Chieftec Power Smart 80 PLUS Gold,ATX,1350W,
Chieftec PSF-400B 80 PLUS Bronze,ATX,400W,
Chieftec Smart Serie GPS-400A8,ATX,400W,
Chieftec Smart Serie GPS-500A8,ATX,500W,
Chieftec Smart Serie GPS-600A8,ATX,600W,
Chieftec Smart Serie GPS-700A8,ATX,700W,
Chieftec Smart Serie SFX-350BS,SFX,350W,
Chieftec Smart Serie SFX-450BS,SFX,450W,
Chieftec Smart Serie SFX-500GD-C,SFX-L,500W,
Chieftec Smart Series TFX 250P 80 PLUS Bronze,TFX,250W,
Chieftec Value APB-600B8,ATX,600W,
Chieftec Value APB-700B8,ATX,700W,
Chieftec Vega 750W Series PPG-750-S,ATX,750W,
Chieftec Vega PPG-750-C,ATX,750W,
Chieftec Vega PPG-850-C,ATX,850W,
Chieftec Vega PPG-850-S Watt,ATX,850W,
Chieftec Vita BPX-750-C,ATX,750W,
Chieftec Vita BPX-850-C,ATX,850W,
"Chieftec Vita Netzteil 750W 80+Bronze retail - PC-/Server Netzteil - 12,5 min",PS/2,750W,
"Chieftec Vita Netzteil 850W 80+Bronze - PC-/Server Netzteil - 14,17 min",PS/2,850W,
Cooler Master GX2 850 Gold,ATX,850W,
Cooler Master MasterWatt,ATX,550W,
"Cooler Master MasterWatt, 80 PLUS-Bronze",ATX,750W,
"Cooler Master MasterWatt, 80 PLUS-Bronze",ATX,650W,
Cooler Master MWE Gold V2,ATX,850W,
Cooler Master MWE Gold V2,ATX,750W,
Cooler Master V-Series SFX,SFX,850W,
Cooler Master V-Series SFX,SFX,750W,
Corsair AX1000 High Performance,ATX,1000W,
Corsair AX1500i Digital ATX Power Supply,ATX,1500W,
Corsair AX760i Digital ATX Power Supply,ATX,760W,
Corsair AX850 High Performance,ATX,850W,
Corsair Builder Series CX450,ATX,450W,
Corsair Builder Series CX450M Modular,ATX,450W,
Corsair Builder Series CX500,ATX,500W,
Corsair Builder Series CX550,ATX,550W,
Corsair Builder Series CX550M Modular,ATX,550W,
Corsair Builder Series CX600,ATX,600W,
Corsair Builder Series CX650,ATX,650W,
Corsair Builder Series CX650M Modular,ATX,650W,
Corsair Builder Series CX750,ATX,750W,
